lat,lon,CO2
53.842,-113.093,1226400
53.53199,-113.36492,299150
54.92312,-112.86187,165070
46.5217,-84.3637,3936240
45.1123,-73.0129,406760
48.3486,-89.3067,211880
45.2393,-63.3347,185370
42.9437,-82.4153,232850
46.1982,-82.6989,132480
50.09071,-110.71901,1618190
50.0582,-110.7282,178190
52.998,-122.483,124480
43.3521,-79.8679,434050
43.0687,-80.858,385140
50.846207,-113.587288,476520
50.8467,-113.58117,36020
45.6324,-73.5244,208730
46.7447,-71.8126,769750
45.3401,-73.52367,727170
42.3839,-82.2218,131040
46.0475,-73.13778,982930
48.875,-123.645,193270
49.1436,-123.023,723130
43.2597,-79.8111,3960610
47.3749,-68.3333,48530
48.4124,-71.1307,121140
51.0682,-115.1364,179710
51.0589,-115.1745,1176410
51.4135,-98.765,106760
43.0989,-80.8943,420220
53.72539,-113.193,670230
53.7332,-113.175,70970
43.8578,-78.9097,124040
55.07111,-118.69111,160230
43.2588,-79.7843,202080
49.1369,-123.8564,143490
45.99756,-65.30631,65240
53.4133,-117.5706,228970
49.5237,-123.4837,112950
45.6203,-73.5183,105570
44.6606,-75.6017,88360
50.5176,-104.6301,243260
52.30827,-113.5415,113690
46.0297,-73.4024,10030
50.686,-120.404,99460
45.7125,-73.425,187650
49.1591,-123.0032,470690
44.1664,-76.8026,646690
53.58051,-113.60328,531700
45.6207,-71.6049,192080
43.4972,-79.6277,996990
47.798,-53.9938,47990
53.9779,-122.695,228750
42.8825,-82.4044,751060
42.9385,-82.4137,100500
52.3083,-113.55,3317240
45.5985,-75.2562,50590
56.2219,-117.1106,202680
46.3803,-72.3616,72870
44.0553,-77.1222,673590
52.3874,-113.6005,149680
42.9544,-82.4153,284600
50.4333,-105.1833,527550
53.8042,-113.0824,259860
48.6667,-72.4583,86290
49.8309,-99.9078,715790
46.7111,-79.0967,174810
43.8806,-78.7005,1161430
43.2426,-81.1478,540220
43.26438,-79.82723,279100
42.81,-80.0967,3768210
42.8142,-82.4556,551110
48.7965,-87.1039,167470
53.7332,-113.175,1102860
49.7831,-92.8472,103410
53.92282,-122.6906,213080
46.0111,-67.2265,117020
45.8206,-73.2661,90420
43.7043,-79.7275,70610
45.262,-66.0924,98700
53.25905,-109.95288,31780
50.25572,-99.86322,78210
44.3193,-81.5657,31060
53.5291,-113.3875,88100
49.1912,-122.6605,62350
44.7353,-75.4842,85730
42.7827,-80.9813,125470
42.9212,-79.2554,168290
45.47359,-73.56072,67770
42.85649,-82.41989,138550
50.44213,-105.22224,67090
45.6133,-74.705,102890
49.91901,-115.764,64600
46.5297,-84.3688,80990
49.3357,-117.728,116130
46.3712,-72.3881,194620
50.1302,-96.9013,48050
44.44202,-77.82546,41350
50.08071,-110.72786,399150
43.3706,-80.284,16050
47.993,-66.719,15650
53.8331,-113.1089,20040
43.2691,-79.8425,3050
52.0317,-113.9355,22930
45.2692,-74.1132,29300
50.3915,-105.5518,9230
45.431,-73.1673,15560
43.2603,-79.7914,30080
45.6364,-73.5213,20870
45.4372,-73.1676,13860
43.0472,-79.1583,14220
46.1799,-83.0172,14690
45.5663,-73.4579,23890
52.3221,-113.5166,17980
43.5447,-80.2324,12090
43.94314,-78.29489,22540
52.43333,-109.16667,24520
42.97077,-79.21057,13690
42.99864,-79.23453,12510
53.59319,-113.338,300
45.2653,-74.1122,33800
48.19156,-64.92241,1387760
44.6243,-75.7017,9870
42.2605,-83.1002,24990
43.2625,-79.7857,15380
43.2338,-79.7151,8690
42.8631,-79.5683,32590
43.6988,-79.725,11560
43.26654,-79.82236,19240
45.82055,-73.26362,920480
45.7078,-73.4242,56600
45.2624,-74.1039,11580
43.2663,-79.829,11100
49.02516,-76.9549,93130
43.2267,-79.69416,30040
43.5964,-80.5525,7140
55.269113,-114.595587,15680
45.3992,-73.5017,9580
53.4651,-113.0759,76500
