lon,lat,LCOE,max_elec
-133.1952259,53.72165816,0.0242018,477961.0342
-133.0097356,53.57617585,0.0261778,441882.0978
-132.8256667,53.43043028,0.0271666,425799.7936
-132.6430062,53.28442616,0.0294758,392441.3576
-132.4617407,53.13816815,0.0331778,348652.854
-132.2818575,52.9916609,0.0337838,342398.881
-132.1033435,52.84490895,0.0357114,323916.5383
-131.9261859,52.69791686,0.0334866,345437.0197
-131.7503721,52.55068909,0.0315798,366294.5214
-131.5758895,52.4032301,0.0299559,386151.3777
-131.4027256,52.25554426,0.030566,378443.5554
-131.2308681,52.10763594,0.0273773,422521.7577
-131.0603047,51.95950944,0.0253409,456476.6898
-133.1359649,53.97751537,0.0290162,398657.0049
-132.9494428,53.83183256,0.0362591,319023.6205
-132.7643609,53.68588378,0.0395391,292559.0747
-132.5807055,53.5396738,0.0414307,279201.7901
-132.3984634,53.39320733,0.0456395,253454.3312
-132.2176212,53.24648903,0.0446263,259208.5658
