lon,lat,LCOE,max_elc,demand,co2,region,up_id,down_id,right_id,left_id,right_distance,left_distance,up_distance,down_distance,site_id,co2_cost
-141,60,0.07918150833333333,6819029.74172,0.0,0.0,R0,R1,R-999,R4,R-999,167.3856623320569,,334.3117494138862,,R0,50
-141,63,0.11823217826086957,7641754.5077,0.0,0.0,R1,R2,R0,R5,R-999,152.00468545469397,,334.45461121896113,334.3117494138862,R1,50
-141,66,0.05350281875,14898246.36124,0.0,0.0,R2,R3,R1,R6,R-999,136.2012022570748,,334.5859304616568,334.45461121896113,R2,50
-141,69,0.07294039782608695,8792501.30638,0.0,0.0,R3,R-999,R2,R7,R-999,120.01874256123294,,,334.5859304616568,R3,50
-138,60,0.045526641935483864,24096446.15385,134.0313876,0.0,R4,R5,R-999,R8,R0,167.3856623320569,167.3856623320569,334.3117494138862,,R4,50
-138,63,0.08781860083333333,17609479.72437,0.0,0.0,R5,R6,R4,R9,R1,152.00468545469397,152.00468545469397,334.45461121896113,334.3117494138862,R5,50
-138,66,0.07860975871559633,18468320.5006,209.6364168,0.0,R6,R7,R5,R10,R2,136.2012022570748,136.2012022570748,334.5859304616568,334.45461121896113,R6,50
-138,69,0.04710520163934426,15572445.4891,3.020425636,0.0,R7,R-999,R6,R11,R3,120.01874256123294,120.01874256123294,,334.5859304616568,R7,50
-135,60,0.04993362285714286,26036462.5387,18.40571872,0.0,R8,R9,R-999,R15,R4,167.3856623320569,167.3856623320569,334.3117494138862,,R8,50
-135,63,0.08777883553719008,17495105.17295,270.1393178,0.0,R9,R10,R8,R16,R5,152.00468545469397,152.00468545469397,334.45461121896113,334.3117494138862,R9,50
-135,66,0.06423702222222222,21021441.1575,0.0,0.0,R10,R11,R9,R17,R6,136.2012022570748,136.2012022570748,334.5859304616568,334.45461121896113,R10,50
-135,69,0.044978373913043476,18353804.1563,556.985365,0.0,R11,R-999,R10,R18,R7,120.01874256123294,120.01874256123294,,334.5859304616568,R11,50
-132,51,0.02822927142857143,2884051.6204,0.0,0.0,R12,R13,R-999,R19,R-999,210.57850274610283,,333.8303058578461,,R12,50
-132,54,0.03266370727272727,19744872.119,520.0795392,0.0,R13,R14,R12,R20,R-999,196.71261177762548,,333.9978578481248,333.8303058578461,R13,50
-132,57,0.04993039746835443,19604090.9261,82.58976349,0.0,R14,R15,R13,R21,R-999,182.3019064120754,,334.15893324043475,333.9978578481248,R14,50
-132,60,0.05925685488721805,27545743.0213,3544.752649,0.0,R15,R16,R14,R22,R8,167.3856623320569,167.3856623320569,334.3117494138862,334.15893324043475,R15,50
-132,63,0.08357123025210084,18151000.69951,0.0,0.0,R16,R17,R15,R23,R9,152.00468545469397,152.00468545469397,334.45461121896113,334.3117494138862,R16,50
-132,66,0.07251835981308412,17985691.3651,0.0,0.0,R17,R18,R16,R24,R10,136.2012022570748,136.2012022570748,334.5859304616568,334.45461121896113,R17,50
-132,69,0.049635225974025976,19199473.6013,0.0,0.0,R18,R-999,R17,R25,R11,120.01874256123294,120.01874256123294,,334.5859304616568,R18,50
-129,51,0.03919374897959184,15760685.4148,0.0,0.0,R19,R20,R-999,R28,R12,210.57850274610283,210.57850274610283,333.8303058578461,,R19,50
-129,54,0.04668959194630872,38822069.0437,4804.742081,0.0,R20,R21,R19,R29,R13,196.71261177762548,196.71261177762548,333.9978578481248,333.8303058578461,R20,50
-129,57,0.05937545931034483,30498868.46694,175.0902986,0.0,R21,R22,R20,R30,R14,182.3019064120754,182.3019064120754,334.15893324043475,333.9978578481248,R21,50
-129,60,0.07410222500000001,23734618.70662,0.0,0.0,R22,R23,R21,R31,R15,167.3856623320569,167.3856623320569,334.3117494138862,334.15893324043475,R22,50
-129,63,0.06644068166666667,22569841.66526,0.0,0.0,R23,R24,R22,R32,R16,152.00468545469397,152.00468545469397,334.45461121896113,334.3117494138862,R23,50
-129,66,0.07603466788990826,17040269.1354,185.2842351,0.0,R24,R25,R23,R33,R17,136.2012022570748,136.2012022570748,334.5859304616568,334.45461121896113,R24,50
-129,69,0.048790685714285714,24039199.62,0.0,0.0,R25,R26,R24,R34,R18,120.01874256123294,120.01874256123294,334.70424431105016,334.5859304616568,R25,50
-129,72,0.029558666666666667,1175218.5767,0.0,0.0,R26,R-999,R25,R35,R-999,103.5020151220522,,,334.70424431105016,R26,50
-126,48,0.06423718064516129,6810796.8138500005,0.0,0.0,R27,R28,R-999,R37,R-999,223.86193577281125,,333.65812705441493,,R27,50
-126,51,0.058698413609467454,35950508.14911,14730.8046,0.0,R28,R29,R27,R38,R19,210.57850274610283,210.57850274610283,333.8303058578461,333.65812705441493,R28,50
-126,54,0.06813662592592593,29030032.0948,12719.76746,0.0,R29,R30,R28,R39,R20,196.71261177762548,196.71261177762548,333.9978578481248,333.8303058578461,R29,50
-126,57,0.06700936896551724,27439421.91668,0.0,0.0,R30,R31,R29,R40,R21,182.3019064120754,182.3019064120754,334.15893324043475,333.9978578481248,R30,50
-126,60,0.07100490895522388,24127665.98244,0.0,0.0,R31,R32,R30,R41,R22,167.3856623320569,167.3856623320569,334.3117494138862,334.15893324043475,R31,50
-126,63,0.07279745762711864,20896115.64664,26.80627752,0.0,R32,R33,R31,R42,R23,152.00468545469397,152.00468545469397,334.45461121896113,334.3117494138862,R32,50
-126,66,0.05995229345794392,21202791.951,0.0,0.0,R33,R34,R32,R43,R24,136.2012022570748,136.2012022570748,334.5859304616568,334.45461121896113,R33,50
-126,69,0.04191492470588235,24099133.0605,32.94151709,0.0,R34,R35,R33,R44,R25,120.01874256123294,120.01874256123294,334.70424431105016,334.5859304616568,R34,50
-126,72,0.029788972222222224,7042765.747,0.0,0.0,R35,R36,R34,R45,R26,103.5020151220522,103.5020151220522,334.80823238428104,334.70424431105016,R35,50
-126,75,0.029888949999999997,775650.6589,0.0,0.0,R36,R-999,R35,R46,R-999,86.69677647368049,,,334.80823238428104,R36,50
-123,48,0.06686792380952382,10294918.08089,237219.1325,1592930.0,R37,R38,R-999,R48,R27,223.86193577281125,223.86193577281125,333.65812705441493,,R37,50
-123,51,0.07845124350282486,28652368.69135,10278.22527,112950.0,R38,R39,R37,R49,R28,210.57850274610283,210.57850274610283,333.8303058578461,333.65812705441493,R38,50
-123,54,0.06355984465408805,29166132.72143,0.0,566310.0,R39,R40,R38,R50,R29,196.71261177762548,196.71261177762548,333.9978578481248,333.8303058578461,R39,50
-123,57,0.06703110275862069,27946248.62723,0.0,0.0,R40,R41,R39,R51,R30,182.3019064120754,182.3019064120754,334.15893324043475,333.9978578481248,R40,50
-123,60,0.08466915496183205,18540503.49012,799.7520755,0.0,R41,R42,R40,R52,R31,167.3856623320569,167.3856623320569,334.3117494138862,334.15893324043475,R41,50
-123,63,0.07327778655462185,19823548.51488,0.0,0.0,R42,R43,R41,R53,R32,152.00468545469397,152.00468545469397,334.45461121896113,334.3117494138862,R42,50
-123,66,0.05291068981481481,24520729.8763,63.05138515,0.0,R43,R44,R42,R54,R33,136.2012022570748,136.2012022570748,334.5859304616568,334.45461121896113,R43,50
-123,69,0.036401767567567564,24098934.935,0.0,0.0,R44,R45,R43,R55,R34,120.01874256123294,120.01874256123294,334.70424431105016,334.5859304616568,R44,50
-123,72,0.02987941587301587,24022875.9149,12.17609085,0.0,R45,R46,R44,R56,R35,103.5020151220522,103.5020151220522,334.80823238428104,334.70424431105016,R45,50
-123,75,0.029610582051282048,15331330.217799999,0.0,0.0,R46,R47,R45,R57,R36,86.69677647368049,86.69677647368049,334.8967322749505,334.80823238428104,R46,50
-123,78,0.0282499,409470.3709,0.0,0.0,R47,R-999,R46,R58,R-999,69.64969359892991,,,334.8967322749505,R47,50
-120,48,0.0889143,5715264.46074,0.0,0.0,R48,R49,R-999,R59,R37,223.86193577281125,223.86193577281125,333.65812705441493,,R48,50
-120,51,0.08165380457142857,27618809.85959,179815.2826,99460.0,R49,R50,R48,R60,R38,210.57850274610283,210.57850274610283,333.8303058578461,333.65812705441493,R49,50
